variant_bridge_state,left_text_island,right_text_island,family_count,families,avg_left_score,avg_right_score,avg_score_delta_right_minus_left,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
shared_variant_bridge,dio_text_15hzmqv,dio_text_jwkf1a,4,dio_095l|dio_0g9z|dio_0xkp|dio_1ocs,0.5275858,0.475137933,-0.052447867,True,False,False,False,False,False,False,False
strengthening_variant_bridge,dio_text_1456g6j,dio_text_1ne15hk,2,dio_0x52|dio_1lg2,0.393777267,0.472786,0.079008733,True,False,False,False,False,False,False,False
thin_variant_bridge,dio_text_mr2id7,dio_text_zle8sl,2,dio_1ffn|dio_1i05,0.464220133,0.4523748,-0.011845333,True,False,False,False,False,False,False,False
single_strengthening_bridge,dio_text_1kx4hnb,dio_text_19a4wib,1,dio_140n,0.393756467,0.4592858,0.065529333,True,False,False,False,False,False,False,False
single_strengthening_bridge,dio_text_1o8gs8u,dio_text_1xd64od,1,dio_03yz,0.4045778,0.471712267,0.067134467,True,False,False,False,False,False,False,False
