source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
probe16_f3,186,1,1767490300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.05444,0.055143,0.98456,1,0,0,0,probe16_f3 run=186 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,2,1767490600000000,dio_0fa9zle,dio_0fa9,dio_0fa9:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.201426,0.360444,-0.300924,1,0,0,0,probe16_f3 run=186 tick=2: dio_0fa9 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,3,1767490900000000,dio_06bdgpn,dio_06bd,dio_06bd:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.473624,0.373255,0.095489,1,0,0,0,probe16_f3 run=186 tick=3: dio_06bd WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,4,1767491200000000,dio_0ojrw25,dio_0ojr,dio_0ojr:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.724046,0.350179,0.30195,1,0,0,0,probe16_f3 run=186 tick=4: dio_0ojr WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,5,1767491500000000,dio_04zirxa,dio_04zi,dio_04zi:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.984391,0.180164,0.949554,1,0,0,0,probe16_f3 run=186 tick=5: dio_04zi WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,6,1767491800000000,dio_1qigcjr,dio_1qig,dio_1qig:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.874202,-0.011927,0.99666,1,0,0,0,probe16_f3 run=186 tick=6: dio_1qig WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,7,1767492100000000,dio_0vc85jd,dio_0vc8,dio_0vc8:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.483187,-0.183654,0.348577,1,0,0,0,probe16_f3 run=186 tick=7: dio_0vc8 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,8,1767492400000000,dio_1g7l35z,dio_1g7l,dio_1g7l:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.077222,-0.13539,-0.237909,1,0,0,0,probe16_f3 run=186 tick=8: dio_1g7l WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,9,1767492700000000,dio_1k0rwi1,dio_1k0r,dio_1k0r:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.25469,-0.105623,0.370425,1,0,0,0,probe16_f3 run=186 tick=9: dio_1k0r WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,10,1767493000000000,dio_10kxynx,dio_10kx,dio_10kx:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.29976,-0.057187,0.383988,1,0,0,0,probe16_f3 run=186 tick=10: dio_10kx WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
probe16_f3,186,11,1767493300000000,dio_1f4vx6s,dio_1f4v,dio_1f4v:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.011078,0.084406,-0.223634,1,0,0,0,probe16_f3 run=186 tick=11: dio_1f4v WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
