run,tick,timestamp_ms,symbol,symbol_family,observed_possible_action,actual_action,outcome_event,potential_reward,observation_learning_pressure,phase_active,phase_relation,passive_only,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
dio_mini_lauf_165,1,1767480300000000,dio_0cgnxn5,dio_0cgn,LONG,WAIT,NO_TRADE,1.0,0.077762,0,none,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_mini_lauf_165,2,1767480600000000,dio_0x52rrz,dio_0x52,LONG,WAIT,NO_TRADE,1.0,0.077789,0,none,1,0.146987,1.0,0.076034,0.133722,0.272727,0.962558,0.130063,0.155106
dio_mini_lauf_165,3,1767480900000000,dio_1guc9eq,dio_1guc,LONG,WAIT,NO_TRADE,1.0,0.06881,0,none,1,0.348413,1.0,0.254893,0.389153,0.686391,0.891037,0.350561,0.393564
dio_mini_lauf_165,4,1767481200000000,dio_199cglh,dio_199c,LONG,WAIT,NO_TRADE,1.0,0.06082,0,none,1,0.560727,1.0,0.190121,0.369894,0.102459,0.89643,0.42128,0.380128
dio_mini_lauf_165,10,1767483000000000,dio_1pfo7u4,dio_1pfo,LONG,WAIT,NO_TRADE,0.045249,0.059708,0,different_contact,1,-0.958963,1.0,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
dio_mini_lauf_165,11,1767483300000000,dio_1mx2l9m,dio_1mx2,LONG,WAIT,NO_TRADE,1.0,0.061344,0,different_contact,1,-0.823245,1.0,0.275568,-0.122876,-0.180587,0.965595,0.441462,-0.430998
dio_mini_lauf_165,12,1767483600000000,dio_173sbgr,dio_173s,SHORT,WAIT,NO_TRADE,1.0,0.072119,0,different_contact,1,-0.47548,0.0,0.637839,-0.190469,-0.151163,0.346669,0.381753,-0.14342
dio_mini_lauf_165,18,1767485400000000,dio_0gmg3at,dio_0gmg,LONG,WAIT,NO_TRADE,1.0,0.068213,0,different_contact,1,-0.758808,0.0,0.86012,-0.206849,-0.44086,0.342082,0.543195,-0.306676
dio_mini_lauf_166,1,1767480300000000,dio_0cgnxn5,dio_0cgn,LONG,WAIT,NO_TRADE,1.0,0.078176,0,none,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_mini_lauf_166,2,1767480600000000,dio_0x52rrz,dio_0x52,LONG,WAIT,NO_TRADE,1.0,0.078254,0,none,1,0.146987,1.0,0.076034,0.133722,0.272727,0.962558,0.130063,0.155106
dio_mini_lauf_166,3,1767480900000000,dio_1guc9eq,dio_1guc,LONG,WAIT,NO_TRADE,1.0,0.069364,0,none,1,0.348413,1.0,0.254893,0.389153,0.686391,0.891037,0.350561,0.393564
dio_mini_lauf_166,4,1767481200000000,dio_199cglh,dio_199c,LONG,WAIT,NO_TRADE,1.0,0.061395,0,none,1,0.560727,1.0,0.190121,0.369894,0.102459,0.89643,0.42128,0.380128
dio_mini_lauf_166,10,1767483000000000,dio_1pfo7u4,dio_1pfo,LONG,WAIT,NO_TRADE,0.045249,0.059708,0,different_contact,1,-0.958963,1.0,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
