source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
variant_probe14_f2,183,1,1767470300000000,dio_1rv13no,dio_1rv1,dio_1rv1:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.07098,0.055132,0.984563,1,0,0,0,variant_probe14_f2 run=183 tick=1: dio_1rv1 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe14_f2,183,2,1767470600000000,dio_0qze2dp,dio_0qze,dio_0qze:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.1638,0.099138,0.972241,1,0,0,0,variant_probe14_f2 run=183 tick=2: dio_0qze WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe14_f2,183,3,1767470900000000,dio_1guc9eq,dio_1guc,dio_1guc:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.39858,0.369058,0.896664,1,0,0,0,variant_probe14_f2 run=183 tick=3: dio_1guc WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe14_f2,183,4,1767471200000000,dio_1t1wbqf,dio_1t1w,dio_1t1w:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.622441,0.342776,0.904023,1,0,0,0,variant_probe14_f2 run=183 tick=4: dio_1t1w WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe14_f2,183,5,1767471500000000,dio_0b66us7,dio_0b66,dio_0b66:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.747066,0.262675,0.926451,1,0,0,0,variant_probe14_f2 run=183 tick=5: dio_0b66 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe14_f2,183,6,1767471800000000,dio_0hd3xl3,dio_0hd3,dio_0hd3:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,2,1.0,1.0,SHORT,0.800261,0.09717,0.972792,1,0,0,0,variant_probe14_f2 run=183 tick=6: dio_0hd3 SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
variant_probe14_f2,183,11,1767473300000000,dio_0989uuk,dio_0989,dio_0989:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.398793,0.0,1.0,0,0.0,0.0,LONG,-0.840934,-0.132451,0.962914,1,0,0,0,variant_probe14_f2 run=183 tick=11: dio_0989 WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe14_f2,183,12,1767473600000000,dio_173sbgr,dio_173s,dio_173s:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,6,6,0.572586,0.0,1.0,0,0.0,0.0,SHORT,-0.498013,-0.197754,0.344629,1,0,0,0,variant_probe14_f2 run=183 tick=12: dio_173s WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe14_f2,183,13,1767473900000000,dio_0sznn5g,dio_0szn,dio_0szn:SHORT,SHORT,SHORT,TP,executed_temporal_contact,new_contact,0,7,7,0.702948,0.282051,0.989263,3,1.0,1.0,SHORT,-0.021769,-0.11057,-0.23096,1,0,0,0,variant_probe14_f2 run=183 tick=13: dio_0szn SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
variant_probe14_f2,183,18,1767475400000000,dio_0gmg3at,dio_0gmg,dio_0gmg:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.518796,0.0,1.0,0,0.0,0.0,LONG,-0.74943,-0.213169,0.340313,1,0,0,0,variant_probe14_f2 run=183 tick=18: dio_0gmg WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe14_f2,184,1,1767470300000000,dio_1rv13no,dio_1rv1,dio_1rv1:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.07098,0.055132,0.984563,1,0,0,0,variant_probe14_f2 run=184 tick=1: dio_1rv1 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
