metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
node_count_reference,253,True,False,False,False,False,False,False,False
node_count_candidate,277,True,False,False,False,False,False,False,False
shared_node_count,207,True,False,False,False,False,False,False,False
node_reproduction_rate,0.818182,True,False,False,False,False,False,False,False
edge_count_reference,120,True,False,False,False,False,False,False,False
edge_count_candidate,12,True,False,False,False,False,False,False,False
shared_edge_count,1,True,False,False,False,False,False,False,False
edge_reproduction_rate,0.008333,True,False,False,False,False,False,False,False
island_count_reference,161,True,False,False,False,False,False,False,False
island_count_candidate,265,True,False,False,False,False,False,False,False
avg_island_similarity_reference,0.229661,True,False,False,False,False,False,False,False
avg_island_similarity_candidate,0.045281,True,False,False,False,False,False,False,False
