text_island_symbol,inner_map_transition_state,left_inner_map_state,right_inner_map_state,left_semantic_maturity_score,right_semantic_maturity_score,score_delta,stability_delta,variation_delta,drift_delta,left_families,right_families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_10drzyv,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.34,0.34,0.0,0.0,0.0,0.0,dio_00by|dio_0qwv|dio_1kxj,dio_00by|dio_0qwv|dio_1kxj,True,False,False,False,False,False,False,False
dio_text_10mf9y7,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_1omr,dio_1omr,True,False,False,False,False,False,False,False
dio_text_111fz7h,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.393333333,0.393333333,0.0,0.0,0.0,0.0,dio_08f8|dio_0d2y|dio_0hfg|dio_0hvo|dio_0ik2|dio_0k5e|dio_0mr9|dio_0w5n|dio_12lr|dio_19ih|dio_1uat,dio_08f8|dio_0d2y|dio_0hfg|dio_0hvo|dio_0ik2|dio_0k5e|dio_0mr9|dio_0w5n|dio_12lr|dio_19ih|dio_1uat,True,False,False,False,False,False,False,False
dio_text_11h1ds3,stable_recurrence,inner_stable_recurrence_space,inner_stable_recurrence_space,0.476205333,0.476205333,0.0,0.0,0.0,0.0,dio_1a4k,dio_1a4k,True,False,False,False,False,False,False,False
dio_text_11og9em,new_in_right_inner_map,,inner_unconfirmed_raw_space,0.0,0.206666667,0.206666667,0.55,0.082666667,0.0,,dio_1ull,True,False,False,False,False,False,False,False
dio_text_11omkek,new_in_right_inner_map,,inner_unconfirmed_raw_space,0.0,0.206666667,0.206666667,0.55,0.082666667,0.0,,dio_1ujh,True,False,False,False,False,False,False,False
dio_text_11p3chu,stable_variation_bearing,inner_variation_bearing_space,inner_variation_bearing_space,0.7822338,0.751541,-0.0306928,-0.0019052,0.02772288,0.0,dio_02s2|dio_081d|dio_09ah|dio_1001|dio_11bp|dio_140n|dio_15r6|dio_168n|dio_19b6|dio_1bj6|dio_1eu2|dio_1hj5|dio_1o2b,dio_002s|dio_0kp3|dio_11bp|dio_15r6|dio_1hj5,True,False,False,False,False,False,False,False
dio_text_11r0rs0,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.333333333,0.333333333,0.0,0.0,0.0,0.0,dio_05ce|dio_06gw,dio_05ce|dio_06gw,True,False,False,False,False,False,False,False
dio_text_11zj9f0,stable_variation_bearing,inner_variation_bearing_space,inner_variation_bearing_space,0.717858933,0.717858933,0.0,0.0,0.0,0.0,dio_023r|dio_05nf|dio_06rg|dio_0gmg|dio_0j7z|dio_0mk6|dio_17ny|dio_17qa|dio_1gv9|dio_1k4r|dio_1k9b,dio_023r|dio_05nf|dio_06rg|dio_0gmg|dio_0j7z|dio_0mk6|dio_17ny|dio_17qa|dio_1gv9|dio_1k4r|dio_1k9b,True,False,False,False,False,False,False,False
dio_text_12390y,stable_same_inner_state,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.206666667,0.206666667,0.0,0.0,0.0,0.0,dio_067m,dio_067m,True,False,False,False,False,False,False,False
