phase,family,rows,executed,positive_executed,burdened_executed,observed_potential,held_same_episode,reward_sum,best_reward_sum,max_trade_readiness,max_mature_transfer,visual_mcm_alignment_trace,tone_tension_resonance_trace,executed_visual_mcm_alignment_trace,executed_tone_tension_resonance_trace,observed_visual_mcm_alignment_trace,observed_tone_tension_resonance_trace,avg_sehen_form_flow,executed_avg_sehen_form_flow,observed_avg_sehen_form_flow,avg_sehen_form_stability,executed_avg_sehen_form_stability,observed_avg_sehen_form_stability,avg_sehen_form_change,executed_avg_sehen_form_change,observed_avg_sehen_form_change,avg_hoeren_energy_tone,executed_avg_hoeren_energy_tone,observed_avg_hoeren_energy_tone,avg_hoeren_energy_shift,executed_avg_hoeren_energy_shift,observed_avg_hoeren_energy_shift,avg_fuehlen_mcm_coherence,executed_avg_fuehlen_mcm_coherence,observed_avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,executed_avg_fuehlen_mcm_tension,observed_avg_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry,executed_avg_fuehlen_mcm_asymmetry,observed_avg_fuehlen_mcm_asymmetry
order_shift,dio_121e,4,2,2,0,2,0,3.042412,6.084824,0.211842,0.081719,0.936537,0.951007,0.936537,0.951007,0.936537,0.951007,-0.1001,-0.1001,-0.1001,1.0,1.0,1.0,-0.2002,-0.2002,-0.2002,0.043243,0.043243,0.043243,0.162162,0.162162,0.162162,0.987892,0.987892,0.987892,0.092236,0.092236,0.092236,-0.071672,-0.071672,-0.071672
order_shift,dio_0nmi,2,1,1,0,1,0,2.0,4.0,0.104784,0.059966,0.973671,0.942918,0.973671,0.942918,0.973671,0.942918,0.181814,0.181814,0.181814,0.0,0.0,0.0,0.090599,0.090599,0.090599,-0.058233,-0.058233,-0.058233,0.0,0.0,0.0,0.383695,0.383695,0.383695,0.115315,0.115315,0.115315,0.12356,0.12356,0.12356
order_shift,dio_0f4h,1,1,1,0,0,0,2.0,2.0,0.172588,0.061115,0.994056,0.939385,0.994056,0.939385,1.0,1.0,0.158892,0.158892,0.0,0.0,0.0,0.0,0.014937,0.014937,0.0,-0.014672,-0.014672,0.0,0.05,0.05,0.0,0.395892,0.395892,0.0,0.075287,0.075287,0.0,0.102564,0.102564,0.0
order_shift,dio_1h5i,3,1,1,0,2,0,1.652416,4.957248,0.064142,0.060884,0.966362,0.976322,0.966362,0.976322,0.966362,0.976322,0.17066,0.17066,0.17066,0.0,0.0,0.0,0.098325,0.098325,0.098325,-0.191529,-0.191529,-0.191529,-0.037313,-0.037313,-0.037313,0.346372,0.346372,0.346372,0.167851,0.167851,0.167851,0.111705,0.111705,0.111705
order_shift,dio_1d6j,4,1,1,0,3,0,1.143781,4.575124,0.091679,0.056826,0.995037,0.942398,0.995037,0.942398,0.995037,0.942398,-0.214981,-0.214981,-0.214981,-1.0,-1.0,-1.0,0.021908,0.021908,0.021908,-0.261033,-0.261033,-0.261033,-0.05988,-0.05988,-0.05988,-0.273089,-0.273089,-0.273089,0.203431,0.203431,0.203431,-0.127107,-0.127107,-0.127107
order_shift,dio_1wwt,4,0,0,0,4,0,0.0,2.255772,0.04661,0.04661,0.967863,0.837527,1.0,1.0,0.967863,0.837527,-0.550611,0.0,-0.550611,-1.0,0.0,-1.0,0.549222,0.0,0.549222,-0.270102,0.0,-0.270102,-0.106383,0.0,-0.106383,-0.275629,0.0,-0.275629,0.432575,0.0,0.432575,-0.197806,0.0,-0.197806
order_shift,dio_08wa,4,0,0,0,4,0,0.0,0.963604,0.022227,0.022227,0.886663,0.597352,1.0,1.0,0.886663,0.597352,-0.916426,0.0,-0.916426,0.0,0.0,0.0,0.796065,0.0,0.796065,-0.189003,0.0,-0.189003,-0.541237,0.0,-0.541237,0.347079,0.0,0.347079,0.591651,0.0,0.591651,-0.430391,0.0,-0.430391
order_shift,dio_0knp,3,0,0,0,3,0,0.0,0.14634,0.00548,0.00548,0.891968,0.581614,1.0,1.0,0.891968,0.581614,1.0,0.0,1.0,1.0,0.0,1.0,-0.561634,0.0,-0.561634,-0.157717,0.0,-0.157717,-0.399061,0.0,-0.399061,0.955839,0.0,0.955839,0.576103,0.0,0.576103,0.345396,0.0,0.345396
order_shift,dio_0d07,2,0,0,0,2,0,0.0,0.550904,0.006525,0.006525,0.931789,0.685012,1.0,1.0,0.931789,0.685012,-1.0,0.0,-1.0,1.0,0.0,1.0,-0.043704,0.0,-0.043704,0.193112,0.0,0.193112,-0.132979,0.0,-0.132979,0.945929,0.0,0.945929,0.5081,0.0,0.5081,-0.597085,0.0,-0.597085
order_shift,dio_185j,2,0,0,0,2,0,0.0,1.39968,0.010018,0.010018,0.914525,0.723199,1.0,1.0,0.914525,0.723199,1.0,0.0,1.0,1.0,0.0,1.0,0.384169,0.0,0.384169,0.352872,0.0,0.352872,0.233918,0.0,0.233918,0.901196,0.0,0.901196,0.629673,0.0,0.629673,0.698984,0.0,0.698984
order_shift,dio_01yf,2,0,0,0,2,0,0.0,2.348112,0.016301,0.016301,0.887382,0.960196,1.0,1.0,0.887382,0.960196,-0.266934,0.0,-0.266934,1.0,0.0,1.0,-0.134069,0.0,-0.134069,0.161654,0.0,0.161654,0.369231,0.0,0.369231,0.954737,0.0,0.954737,0.201458,0.0,0.201458,-0.107813,0.0,-0.107813
order_shift,dio_1i0f,2,0,0,0,2,0,0.0,1.586678,0.012728,0.012728,0.813847,0.893742,1.0,1.0,0.813847,0.893742,-0.567234,0.0,-0.567234,1.0,0.0,1.0,-0.336266,0.0,-0.336266,0.320315,0.0,0.320315,0.490566,0.0,0.490566,0.910312,0.0,0.910312,0.426573,0.0,0.426573,-0.300242,0.0,-0.300242
order_shift,dio_0nvr,2,0,0,0,2,0,0.0,0.207332,0.005402,0.005402,0.802968,0.77327,1.0,1.0,0.802968,0.77327,-0.94539,0.0,-0.94539,1.0,0.0,1.0,-0.38479,0.0,-0.38479,0.399828,0.0,0.399828,0.348101,0.0,0.348101,0.888048,0.0,0.888048,0.626558,0.0,0.626558,-0.552148,0.0,-0.552148
order_shift,dio_1j0n,1,0,0,0,1,0,0.0,1.209428,0.004095,0.004095,0.968496,0.848788,1.0,1.0,0.968496,0.848788,0.748605,0.0,0.748605,1.0,0.0,1.0,0.403831,0.0,0.403831,0.392785,0.0,0.392785,0.40146,0.0,0.40146,0.89002,0.0,0.89002,0.543997,0.0,0.543997,0.59643,0.0,0.59643
order_shift,dio_018g,1,0,0,0,1,0,0.0,0.231148,0.004547,0.004547,0.887779,0.66456,1.0,1.0,0.887779,0.66456,1.0,0.0,1.0,1.0,0.0,1.0,0.021094,0.0,0.021094,0.151613,0.0,0.151613,-0.099502,0.0,-0.099502,0.957548,0.0,0.957548,0.487053,0.0,0.487053,0.545162,0.0,0.545162
order_shift,dio_00eh,2,1,0,1,1,0,-0.431148,0.462296,0.072906,0.066364,0.887779,0.66456,0.887779,0.66456,0.887779,0.66456,1.0,1.0,1.0,1.0,1.0,1.0,0.021094,0.021094,0.021094,0.151613,0.151613,0.151613,-0.099502,-0.099502,-0.099502,0.957548,0.957548,0.957548,0.487053,0.487053,0.487053,0.545162,0.545162,0.545162
order_shift_varianz,dio_1d6j,4,4,4,0,0,0,3.624284,3.624284,0.523523,0.05709,0.988765,0.988605,0.988765,0.988605,1.0,1.0,-0.30525,-0.30525,0.0,-1.0,-1.0,0.0,0.051409,0.051409,0.0,-0.254872,-0.254872,0.0,-0.05291,-0.05291,0.0,-0.271364,-0.271364,0.0,0.243477,0.243477,0.0,-0.169184,-0.169184,0.0
order_shift_varianz,dio_1ioc,4,2,2,0,2,0,3.339704,6.679408,0.232116,0.079776,0.9672,0.96177,0.9672,0.96177,0.9672,0.96177,-0.066707,-0.066707,-0.066707,1.0,1.0,1.0,-0.133413,-0.133413,-0.133413,0.019195,0.019195,0.019195,0.060606,0.060606,0.060606,0.994625,0.994625,0.994625,0.057425,0.057425,0.057425,-0.057254,-0.057254,-0.057254
order_shift_varianz,dio_1sxo,2,1,1,0,1,0,0.993834,1.987668,0.076944,0.069375,0.801728,0.952709,0.801728,0.952709,0.801728,0.952709,-0.5003,-0.5003,-0.5003,1.0,1.0,1.0,-0.302232,-0.302232,-0.302232,0.364124,0.364124,0.364124,0.6,0.6,0.6,0.898045,0.898045,0.898045,0.411415,0.411415,0.411415,-0.232704,-0.232704,-0.232704
order_shift_varianz,dio_151h,4,0,0,0,4,0,0.0,0.327368,0.010461,0.010461,0.884571,0.606009,1.0,1.0,0.884571,0.606009,1.0,0.0,1.0,1.0,0.0,1.0,-0.067585,0.0,-0.067585,0.063487,0.0,0.063487,-0.164319,0.0,-0.164319,0.982224,0.0,0.982224,0.457478,0.0,0.457478,0.510916,0.0,0.510916
order_shift_varianz,dio_066x,3,0,0,0,3,0,0.0,1.182012,0.017901,0.017901,0.958834,0.761113,1.0,1.0,0.958834,0.761113,-0.673129,0.0,-0.673129,-1.0,0.0,-1.0,0.661473,0.0,0.661473,-0.25804,0.0,-0.25804,-0.144928,0.0,-0.144928,-0.272251,0.0,-0.272251,0.496927,0.0,0.496927,-0.247184,0.0,-0.247184
