symbol_family,observed_possible_action,family_action,source_count,sources,trace_count,potential_reward_sum,avg_observation_learning_pressure,stability_reading,passive_only,avg_sehen_form_flow,avg_sehen_form_stability,avg_sehen_form_change,avg_hoeren_energy_tone,avg_hoeren_energy_shift,avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry
dio_04zi,LONG,dio_04zi:LONG,1,probe16,3,3.0,0.056831333,passive_possibility_repeats_inside_variant,1,-0.984391,1.0,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
dio_06bd,SHORT,dio_06bd:SHORT,1,probe16,3,3.0,0.052855333,passive_possibility_repeats_inside_variant,1,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
dio_0cgn,LONG,dio_0cgn:LONG,1,probe15,3,3.0,0.078156667,passive_possibility_repeats_inside_variant,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_0cgn,SHORT,dio_0cgn:SHORT,1,probe16,3,3.0,0.076825,passive_possibility_repeats_inside_variant,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_0fa9,SHORT,dio_0fa9:SHORT,1,probe16,3,3.0,0.050175,passive_possibility_repeats_inside_variant,1,-0.201426,-1.0,-0.62011,0.360444,0.804878,-0.300924,0.335203,-0.100649
dio_0gmg,LONG,dio_0gmg:LONG,1,probe15,3,3.0,0.068213,passive_possibility_repeats_inside_variant,1,-0.758808,0.0,0.86012,-0.206849,-0.44086,0.342082,0.543195,-0.306676
dio_0ojr,SHORT,dio_0ojr:SHORT,1,probe16,3,3.0,0.055527333,passive_possibility_repeats_inside_variant,1,-0.724046,0.0,-0.188908,0.350179,0.137457,0.30195,0.4814,-0.423312
dio_0rb2,SHORT,dio_0rb2:SHORT,1,probe16,3,3.0,0.059431333,passive_possibility_repeats_inside_variant,1,0.033347,-1.0,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
dio_0vc8,SHORT,dio_0vc8:SHORT,1,probe16,3,1.314432,0.067058,passive_possibility_repeats_inside_variant,1,-0.483187,0.0,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
dio_0x52,LONG,dio_0x52:LONG,1,probe15,3,3.0,0.078232333,passive_possibility_repeats_inside_variant,1,0.146987,1.0,0.076034,0.133722,0.272727,0.962558,0.130063,0.155106
dio_10kx,SHORT,dio_10kx:SHORT,1,probe16,3,3.0,0.061338667,passive_possibility_repeats_inside_variant,1,0.29976,0.0,-0.464234,-0.057187,-0.062112,0.383988,0.224195,0.044027
dio_14xc,LONG,dio_14xc:LONG,1,probe18,3,0.9375,0.035473667,passive_possibility_repeats_inside_variant,1,0.822477,1.0,-0.169765,0.010545,-0.130208,0.997047,0.377032,0.393802
dio_173s,SHORT,dio_173s:SHORT,1,probe15,3,3.0,0.072119667,passive_possibility_repeats_inside_variant,1,-0.47548,0.0,0.637839,-0.190469,-0.151163,0.346669,0.381753,-0.14342
dio_199c,LONG,dio_199c:LONG,1,probe15,3,3.0,0.061368,passive_possibility_repeats_inside_variant,1,0.560727,1.0,0.190121,0.369894,0.102459,0.89643,0.42128,0.380128
dio_1f4v,SHORT,dio_1f4v:SHORT,1,probe16,3,3.0,0.055944333,passive_possibility_repeats_inside_variant,1,-0.011078,-1.0,-0.493718,0.084406,0.159236,-0.223634,0.119098,-0.092849
dio_1g7l,SHORT,dio_1g7l:SHORT,1,probe16,3,3.0,0.062277,passive_possibility_repeats_inside_variant,1,-0.077222,-1.0,0.464469,-0.13539,0.080214,-0.237909,0.163612,0.084271
dio_1guc,LONG,dio_1guc:LONG,1,probe15,3,3.0,0.069338,passive_possibility_repeats_inside_variant,1,0.348413,1.0,0.254893,0.389153,0.686391,0.891037,0.350561,0.393564
dio_1jo7,SHORT,dio_1jo7:SHORT,1,probe16,3,1.624203,0.054309,passive_possibility_repeats_inside_variant,1,-0.044569,-1.0,-0.533638,0.140686,0.254777,-0.239392,0.163189,-0.102076
dio_1k0r,SHORT,dio_1k0r:SHORT,1,probe16,3,3.0,0.066631667,passive_possibility_repeats_inside_variant,1,0.25469,0.0,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
dio_1mx2,LONG,dio_1mx2:LONG,1,probe15,3,3.0,0.061344667,passive_possibility_repeats_inside_variant,1,-0.823245,1.0,0.275568,-0.122876,-0.180587,0.965595,0.441462,-0.430998
dio_1pfo,LONG,dio_1pfo:LONG,1,probe15,3,0.135747,0.059708,passive_possibility_repeats_inside_variant,1,-0.958963,1.0,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
dio_1q9b,SHORT,dio_1q9b:SHORT,1,probe16,3,3.0,0.062426667,passive_possibility_repeats_inside_variant,1,-0.0554,-1.0,0.392229,-0.113507,0.09434,-0.231782,0.133698,0.081979
dio_1qig,LONG,dio_1qig:LONG,1,probe16,3,3.0,0.058537,passive_possibility_repeats_inside_variant,1,-0.874202,1.0,0.202334,-0.011927,-0.101781,0.99666,0.404548,-0.461349
dio_1t73,SHORT,dio_1t73:SHORT,1,probe16,3,3.0,0.067700667,passive_possibility_repeats_inside_variant,1,-0.37545,0.0,0.577393,-0.152016,-0.34375,0.357435,0.313919,-0.140428
dio_1vjg,LONG,dio_1vjg:LONG,1,probe16,3,3.0,0.065183333,passive_possibility_repeats_inside_variant,1,-0.595238,1.0,0.042702,0.095716,0.0,0.9732,0.297033,-0.323085
dio_1w4m,LONG,dio_1w4m:LONG,1,probe16,3,3.0,0.061621333,passive_possibility_repeats_inside_variant,1,-0.344651,0.0,-0.245917,0.165485,-0.031646,0.353664,0.253604,-0.258354
dio_1w4m,SHORT,dio_1w4m:SHORT,1,probe16,3,1.472394,0.062247333,passive_possibility_repeats_inside_variant,1,-0.342458,0.0,-0.244287,0.107545,0.06135,0.369887,0.228087,-0.238135
