text_island_symbol,text_island_maturity_state,observations,family_count,recurrence_count,density_stability,variation_tolerance,foreign_separation,reorganization_quality,drift_pressure,semantic_density,semantic_maturity_score,maturity_note,semantic_vorticity,first_seen_source,last_seen_source,state_counts,source_counts,families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_10drzyv,new_unconfirmed_text_island,1,3,0,1.0,0.0,1.0,0.0,0.0,0.454565,0.34,"dio_text_10drzyv: new_unconfirmed_text_island; recur=0; var=0.000; foreign=1.000; score=0.340; passiv, keine Handlung.",0.546254,probe20_26_6episoden_varianteB,probe20_26_6episoden_varianteB,"{""emerging_text_island"": 1}","{""probe20_26_6episoden_varianteB"": 1}",dio_00by|dio_0qwv|dio_1kxj,True,False,False,False,False,False,False,False
dio_text_10mf9y7,new_unconfirmed_text_island,1,1,0,1.0,0.0,1.0,0.0,0.0,0.018621,0.326666667,"dio_text_10mf9y7: new_unconfirmed_text_island; recur=0; var=0.000; foreign=1.000; score=0.327; passiv, keine Handlung.",0.528554,probe20_26_6episoden_varianteB,probe20_26_6episoden_varianteB,"{""emerging_text_island"": 1}","{""probe20_26_6episoden_varianteB"": 1}",dio_1omr,True,False,False,False,False,False,False,False
dio_text_111fz7h,new_unconfirmed_text_island,1,11,0,1.0,0.0,1.0,0.0,0.0,0.757433,0.393333333,"dio_text_111fz7h: new_unconfirmed_text_island; recur=0; var=0.000; foreign=1.000; score=0.393; passiv, keine Handlung.",0.677304,probe20_26_6episoden_varianteB,probe20_26_6episoden_varianteB,"{""emerging_text_island"": 1}","{""probe20_26_6episoden_varianteB"": 1}",dio_08f8|dio_0d2y|dio_0hfg|dio_0hvo|dio_0ik2|dio_0k5e|dio_0mr9|dio_0w5n|dio_12lr|dio_19ih|dio_1uat,True,False,False,False,False,False,False,False
dio_text_11h1ds3,stable_recurrent_text_island,2,1,2,0.96436,0.0,0.0,0.5,0.0,0.0696,0.476205333,"dio_text_11h1ds3: stable_recurrent_text_island; recur=2; var=0.000; foreign=0.000; score=0.476; passiv, keine Handlung.",0.524064,probe20_26_6episoden,probe20_26_6episoden_repro2,"{""densifying_text_island"": 1, ""emerging_text_island"": 1}","{""probe20_26_6episoden"": 1, ""probe20_26_6episoden_repro2"": 1}",dio_1a4k,True,False,False,False,False,False,False,False
dio_text_11p3chu,variant_resilient_text_island,3,5,3,0.911169,0.333333333,0.0,0.666666667,0.0,0.361082,0.668900467,"dio_text_11p3chu: variant_resilient_text_island; recur=3; var=0.333; foreign=0.000; score=0.669; passiv, keine Handlung.",0.470295,probe20_26_6episoden,probe20_26_6episoden_varianteA,"{""densifying_text_island"": 1, ""emerging_text_island"": 1, ""reorganizing_text_island"": 1}","{""probe20_26_6episoden"": 1, ""probe20_26_6episoden_repro2"": 1, ""probe20_26_6episoden_varianteA"": 1}",dio_002s|dio_0d5i|dio_1001|dio_11bp|dio_12dz,True,False,False,False,False,False,False,False
dio_text_11r0rs0,new_unconfirmed_text_island,1,2,0,1.0,0.0,1.0,0.0,0.0,0.42341,0.333333333,"dio_text_11r0rs0: new_unconfirmed_text_island; recur=0; var=0.000; foreign=1.000; score=0.333; passiv, keine Handlung.",0.531146,probe20_26_6episoden_varianteB,probe20_26_6episoden_varianteB,"{""emerging_text_island"": 1}","{""probe20_26_6episoden_varianteB"": 1}",dio_05ce|dio_06gw,True,False,False,False,False,False,False,False
dio_text_11zj9f0,variant_resilient_text_island,4,11,4,0.747628,0.5,0.0,0.75,0.0,0.469379,0.717858933,"dio_text_11zj9f0: variant_resilient_text_island; recur=4; var=0.500; foreign=0.000; score=0.718; passiv, keine Handlung.",0.522335,probe20_26_reference,probe20_26_6episoden_varianteA,"{""densifying_text_island"": 1, ""emerging_text_island"": 1, ""reorganizing_text_island"": 2}","{""probe20_26_6episoden"": 1, ""probe20_26_6episoden_repro2"": 1, ""probe20_26_6episoden_varianteA"": 1, ""probe20_26_reference"": 1}",dio_023r|dio_05nf|dio_06rg|dio_0gmg|dio_0j7z|dio_0mk6|dio_17ny|dio_17qa|dio_1gv9|dio_1k4r|dio_1k9b,True,False,False,False,False,False,False,False
dio_text_12390y,new_unconfirmed_text_island,1,1,0,1.0,0.0,0.0,0.0,0.0,0.150948,0.206666667,"dio_text_12390y: new_unconfirmed_text_island; recur=0; var=0.000; foreign=0.000; score=0.207; passiv, keine Handlung.",0.0064,probe20_26_reference,probe20_26_reference,"{""emerging_text_island"": 1}","{""probe20_26_reference"": 1}",dio_067m,True,False,False,False,False,False,False,False
dio_text_12cwxbj,new_unconfirmed_text_island,1,2,0,1.0,0.0,1.0,0.0,0.0,0.422423,0.333333333,"dio_text_12cwxbj: new_unconfirmed_text_island; recur=0; var=0.000; foreign=1.000; score=0.333; passiv, keine Handlung.",0.53051,probe20_26_6episoden_varianteB,probe20_26_6episoden_varianteB,"{""emerging_text_island"": 1}","{""probe20_26_6episoden_varianteB"": 1}",dio_0p65|dio_0unl,True,False,False,False,False,False,False,False
dio_text_12kcrab,new_unconfirmed_text_island,1,1,0,1.0,0.0,1.0,0.0,0.0,0.018621,0.326666667,"dio_text_12kcrab: new_unconfirmed_text_island; recur=0; var=0.000; foreign=1.000; score=0.327; passiv, keine Handlung.",0.528554,probe20_26_6episoden_varianteB,probe20_26_6episoden_varianteB,"{""emerging_text_island"": 1}","{""probe20_26_6episoden_varianteB"": 1}",dio_1uxs,True,False,False,False,False,False,False,False
