phase,family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
shift,dio_0odx,27,1,0,0,0,1,0.0,0.037158,0.037158
shift,dio_0odx,28,1,0,0,0,1,0.0,0.054159,0.04835
shift,dio_0odx,29,1,1,1,0,0,0.260467,0.06201,0.053027
shift,dio_0odx,30,1,1,1,0,0,0.260467,0.092001,0.055604
shift,dio_0t45,29,1,0,1,1,1,0.0,0.069173,0.056821
shift,dio_0t45,30,1,0,1,1,1,0.0,0.143727,0.062919
shift,dio_1cpq,27,1,0,1,1,1,0.0,0.102778,0.047351
shift,dio_1cpq,28,1,1,1,0,0,1.292204,0.172172,0.05104
shift,dio_1cpq,29,1,1,1,0,0,1.292204,0.375302,0.058274
shift,dio_1cpq,30,1,1,1,0,0,1.292204,0.510169,0.066977
shift,dio_1h37,27,1,0,0,0,1,0.0,0.005742,0.005742
shift,dio_1hjj,27,1,0,1,1,1,0.0,0.079478,0.045332
shift,dio_1lam,27,1,1,1,0,0,1.29944,0.358031,0.064201
shift,dio_1lam,28,1,1,1,0,0,1.29944,0.570321,0.069583
shift,dio_1lam,29,1,1,1,0,0,1.29944,0.674217,0.075418
shift,dio_1lam,30,1,1,1,0,0,1.29944,0.761004,0.078122
shift,dio_1mml,27,1,1,1,0,0,0.237245,0.086014,0.04983
shift,dio_1r0b,27,1,1,1,0,0,0.979702,0.206641,0.059101
shift,dio_1r0b,28,1,1,1,0,0,0.979702,0.363935,0.064581
order_shift,dio_00eh,37,1,1,1,0,0,-0.431148,0.072906,0.066364
order_shift,dio_00eh,39,1,0,0,0,1,0.0,0.010662,0.010662
order_shift,dio_018g,38,1,0,0,0,1,0.0,0.004547,0.004547
order_shift,dio_01yf,36,1,0,0,0,1,0.0,0.005346,0.005346
order_shift,dio_01yf,37,1,0,0,0,1,0.0,0.016301,0.016301
order_shift,dio_08wa,36,1,0,0,0,1,0.0,0.003974,0.003974
order_shift,dio_08wa,37,1,0,0,0,1,0.0,0.005443,0.005443
