symbol_family,observation_count,family_stability_state,class_counts,direction_counts,dominant_direction,avg_afterlook_best_reward,avg_reflection_carry,avg_world_carry,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_future_teacher
dio_0120,1,family_stably_acted_carried,"{""acted_carried"": 1}","{""LONG"": 1}",LONG,1.0,0.3648955,0.279846,True,False,False,False,False,False
dio_01vz,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.2378685,0.0,True,False,False,False,False,False
dio_02qu,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.209842,0.0,True,False,False,False,False,False
dio_04z7,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.1710145,0.0,True,False,False,False,False,False
dio_04zi,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.1771495,0.0,True,False,False,False,False,False
dio_06bd,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1178045,0.0,True,False,False,False,False,False
dio_07rf,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,0.287356,0.2585745,0.0,True,False,False,False,False,False
dio_0989,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.300017,0.275567,True,False,False,False,False,False
dio_0akd,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.1727015,0.0,True,False,False,False,False,False
dio_0b66,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2979565,0.275203,True,False,False,False,False,False
dio_0be3,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.228765,0.0,True,False,False,False,False,False
dio_0cgn,2,family_context_dependent_withholding,"{""open_potential"": 1, ""overcautious_carried_context"": 1}","{""LONG"": 1, ""SHORT"": 1}",LONG,1.0,0.2504585,0.1300995,True,False,False,False,False,False
dio_0eh8,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2692245,0.0,True,False,False,False,False,False
dio_0ems,1,family_stably_acted_carried,"{""acted_carried"": 1}","{""LONG"": 1}",LONG,1.0,0.234283,0.0,True,False,False,False,False,False
dio_0fa9,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.0922085,0.0,True,False,False,False,False,False
dio_0fiy,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2026825,0.0,True,False,False,False,False,False
dio_0fzl,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.1714485,0.0,True,False,False,False,False,False
dio_0gmg,2,family_stably_cautious_potential,"{""cautious_potential"": 2}","{""LONG"": 2}",LONG,1.0,0.25902725000000004,0.0,True,False,False,False,False,False
dio_0hd3,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""SHORT"": 2}",SHORT,1.0,0.30749825,0.279867,True,False,False,False,False,False
dio_0izw,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2273665,0.0,True,False,False,False,False,False
dio_0n45,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,0.242291,0.2611625,0.0,True,False,False,False,False,False
dio_0n9e,1,family_stably_acted_carried,"{""acted_carried"": 1}","{""LONG"": 1}",LONG,1.0,0.2135575,0.0,True,False,False,False,False,False
