run,tick,timestamp_ms,symbol,symbol_family,observed_possible_action,actual_action,outcome_event,potential_reward,observation_learning_pressure,phase_active,phase_relation,passive_only,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
dio_mini_lauf_169,7,1767492100000000,dio_0vc85jd,dio_0vc8,SHORT,WAIT,NO_TRADE,0.438144,0.067056,0,none,1,-0.483187,0.0,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
dio_mini_lauf_169,8,1767492400000000,dio_1g7l35z,dio_1g7l,SHORT,WAIT,NO_TRADE,1.0,0.062276,0,none,1,-0.077222,-1.0,0.464469,-0.13539,0.080214,-0.237909,0.163612,0.084271
dio_mini_lauf_169,9,1767492700000000,dio_1k0rwi1,dio_1k0r,SHORT,WAIT,NO_TRADE,1.0,0.066631,0,none,1,0.25469,0.0,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
dio_mini_lauf_169,10,1767493000000000,dio_10kxynx,dio_10kx,SHORT,WAIT,NO_TRADE,1.0,0.061338,0,none,1,0.29976,0.0,-0.464234,-0.057187,-0.062112,0.383988,0.224195,0.044027
dio_mini_lauf_169,11,1767493300000000,dio_1f4vx6s,dio_1f4v,SHORT,WAIT,NO_TRADE,1.0,0.055945,0,none,1,-0.011078,-1.0,-0.493718,0.084406,0.159236,-0.223634,0.119098,-0.092849
dio_mini_lauf_169,12,1767493600000000,dio_1w4m0ap,dio_1w4m,SHORT,WAIT,NO_TRADE,0.490798,0.062248,0,none,1,-0.342458,0.0,-0.244287,0.107545,0.06135,0.369887,0.228087,-0.238135
dio_mini_lauf_169,13,1767493900000000,dio_1vjg16d,dio_1vjg,LONG,WAIT,NO_TRADE,1.0,0.065184,0,none,1,-0.595238,1.0,0.042702,0.095716,0.0,0.9732,0.297033,-0.323085
dio_mini_lauf_169,14,1767494200000000,dio_1t73pqz,dio_1t73,SHORT,WAIT,NO_TRADE,1.0,0.067699,0,none,1,-0.37545,0.0,0.577393,-0.152016,-0.34375,0.357435,0.313919,-0.140428
dio_mini_lauf_169,15,1767494500000000,dio_1q9bwwb,dio_1q9b,SHORT,WAIT,NO_TRADE,1.0,0.062426,0,none,1,-0.0554,-1.0,0.392229,-0.113507,0.09434,-0.231782,0.133698,0.081979
dio_mini_lauf_169,16,1767494800000000,dio_0rb2qnk,dio_0rb2,SHORT,WAIT,NO_TRADE,1.0,0.059432,0,none,1,0.033347,-1.0,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
dio_mini_lauf_169,17,1767495100000000,dio_1jo7eef,dio_1jo7,SHORT,WAIT,NO_TRADE,0.541401,0.05431,0,none,1,-0.044569,-1.0,-0.533638,0.140686,0.254777,-0.239392,0.163189,-0.102076
dio_mini_lauf_169,18,1767495400000000,dio_1w4m0ap,dio_1w4m,LONG,WAIT,NO_TRADE,1.0,0.061623,0,none,1,-0.344651,0.0,-0.245917,0.165485,-0.031646,0.353664,0.253604,-0.258354
dio_mini_lauf_170,1,1767490300000000,dio_0cgnxn5,dio_0cgn,SHORT,WAIT,NO_TRADE,1.0,0.076826,0,none,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_mini_lauf_170,2,1767490600000000,dio_0fa9zle,dio_0fa9,SHORT,WAIT,NO_TRADE,1.0,0.050175,0,none,1,-0.201426,-1.0,-0.62011,0.360444,0.804878,-0.300924,0.335203,-0.100649
dio_mini_lauf_170,3,1767490900000000,dio_06bdgpn,dio_06bd,SHORT,WAIT,NO_TRADE,1.0,0.052857,0,none,1,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
dio_mini_lauf_170,4,1767491200000000,dio_0ojrw25,dio_0ojr,SHORT,WAIT,NO_TRADE,1.0,0.055529,0,none,1,-0.724046,0.0,-0.188908,0.350179,0.137457,0.30195,0.4814,-0.423312
dio_mini_lauf_170,5,1767491500000000,dio_04zirxa,dio_04zi,LONG,WAIT,NO_TRADE,1.0,0.056833,0,none,1,-0.984391,1.0,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
dio_mini_lauf_170,6,1767491800000000,dio_1qigcjr,dio_1qig,LONG,WAIT,NO_TRADE,1.0,0.058536,0,none,1,-0.874202,1.0,0.202334,-0.011927,-0.101781,0.99666,0.404548,-0.461349
dio_mini_lauf_170,7,1767492100000000,dio_0vc85jd,dio_0vc8,SHORT,WAIT,NO_TRADE,0.438144,0.067056,0,none,1,-0.483187,0.0,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
dio_mini_lauf_170,8,1767492400000000,dio_1g7l35z,dio_1g7l,SHORT,WAIT,NO_TRADE,1.0,0.062276,0,none,1,-0.077222,-1.0,0.464469,-0.13539,0.080214,-0.237909,0.163612,0.084271
dio_mini_lauf_170,9,1767492700000000,dio_1k0rwi1,dio_1k0r,SHORT,WAIT,NO_TRADE,1.0,0.066631,0,none,1,0.25469,0.0,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
dio_mini_lauf_170,10,1767493000000000,dio_10kxynx,dio_10kx,SHORT,WAIT,NO_TRADE,1.0,0.061338,0,none,1,0.29976,0.0,-0.464234,-0.057187,-0.062112,0.383988,0.224195,0.044027
dio_mini_lauf_170,11,1767493300000000,dio_1f4vx6s,dio_1f4v,SHORT,WAIT,NO_TRADE,1.0,0.055945,0,none,1,-0.011078,-1.0,-0.493718,0.084406,0.159236,-0.223634,0.119098,-0.092849
dio_mini_lauf_170,12,1767493600000000,dio_1w4m0ap,dio_1w4m,SHORT,WAIT,NO_TRADE,0.490798,0.062249,0,none,1,-0.342458,0.0,-0.244287,0.107545,0.06135,0.369887,0.228087,-0.238135
dio_mini_lauf_170,13,1767493900000000,dio_1vjg16d,dio_1vjg,LONG,WAIT,NO_TRADE,1.0,0.065184,0,none,1,-0.595238,1.0,0.042702,0.095716,0.0,0.9732,0.297033,-0.323085
dio_mini_lauf_170,14,1767494200000000,dio_1t73pqz,dio_1t73,SHORT,WAIT,NO_TRADE,1.0,0.067699,0,none,1,-0.37545,0.0,0.577393,-0.152016,-0.34375,0.357435,0.313919,-0.140428
dio_mini_lauf_170,15,1767494500000000,dio_1q9bwwb,dio_1q9b,SHORT,WAIT,NO_TRADE,1.0,0.062426,0,none,1,-0.0554,-1.0,0.392229,-0.113507,0.09434,-0.231782,0.133698,0.081979
dio_mini_lauf_170,16,1767494800000000,dio_0rb2qnk,dio_0rb2,SHORT,WAIT,NO_TRADE,1.0,0.059433,0,none,1,0.033347,-1.0,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
dio_mini_lauf_170,17,1767495100000000,dio_1jo7eef,dio_1jo7,SHORT,WAIT,NO_TRADE,0.541401,0.05431,0,none,1,-0.044569,-1.0,-0.533638,0.140686,0.254777,-0.239392,0.163189,-0.102076
dio_mini_lauf_170,18,1767495400000000,dio_1w4m0ap,dio_1w4m,LONG,WAIT,NO_TRADE,1.0,0.061623,0,none,1,-0.344651,0.0,-0.245917,0.165485,-0.031646,0.353664,0.253604,-0.258354
