repeat,symbol_family,base_present,repeat_present,base_dominant_recurrence_context_state,repeat_dominant_recurrence_context_state,dominant_recurrence_context_state_same,base_context_state_counts,repeat_context_state_counts,context_state_counts_same,base_candidate_passive_reife_state,repeat_candidate_passive_reife_state,candidate_passive_reife_state_same,base_candidate_meaning_preservation_rate,repeat_candidate_meaning_preservation_rate,candidate_meaning_preservation_rate_same,base_candidate_stable_recurrence_rate,repeat_candidate_stable_recurrence_rate,candidate_stable_recurrence_rate_same,base_candidate_temporal_fragility,repeat_candidate_temporal_fragility,candidate_temporal_fragility_same,all_context_fields_same
a,dio_04kx,1,1,recurrence_context_time_fragile,recurrence_context_time_fragile,1,recurrence_context_time_fragile:2,recurrence_context_time_fragile:2,1,zeitfragil_aber_richtungserhaltend,zeitfragil_aber_richtungserhaltend,1,0.666667,0.666667,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_05k3,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,0.833333,0.833333,1,0.666667,0.666667,1,1.0,1.0,1,1
a,dio_067m,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_0fvj,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.333333,0.333333,1,1.0,1.0,1,1
a,dio_0qym,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_0x52,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.5,0.5,1,1.0,1.0,1,1
a,dio_1215,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_15gs,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.333333,0.333333,1,1.0,1.0,1,1
a,dio_19mp,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.166667,0.166667,1,1.0,1.0,1,1
a,dio_1aqj,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_1bwy,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,0.833333,0.833333,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_1ekt,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.833333,0.833333,1,1.0,1.0,1,1
a,dio_1hs5,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,0.833333,0.833333,1,0.166667,0.166667,1,1.0,1.0,1,1
a,dio_1lno,1,1,recurrence_context_reorganizing,recurrence_context_reorganizing,1,recurrence_context_reorganizing:2,recurrence_context_reorganizing:2,1,instabil_neuordnend,instabil_neuordnend,1,0.166667,0.166667,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_1mrs,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_1noq,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
a,dio_1ull,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.166667,0.166667,1,1.0,1.0,1,1
a,dio_1xfw,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_04kx,1,1,recurrence_context_time_fragile,recurrence_context_time_fragile,1,recurrence_context_time_fragile:2,recurrence_context_time_fragile:2,1,zeitfragil_aber_richtungserhaltend,zeitfragil_aber_richtungserhaltend,1,0.666667,0.666667,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_05k3,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,0.833333,0.833333,1,0.666667,0.666667,1,1.0,1.0,1,1
b,dio_067m,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_0fvj,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.333333,0.333333,1,1.0,1.0,1,1
b,dio_0qym,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_0x52,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.5,0.5,1,1.0,1.0,1,1
b,dio_1215,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_15gs,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.333333,0.333333,1,1.0,1.0,1,1
b,dio_19mp,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.166667,0.166667,1,1.0,1.0,1,1
b,dio_1aqj,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_1bwy,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,0.833333,0.833333,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_1ekt,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.833333,0.833333,1,1.0,1.0,1,1
b,dio_1hs5,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,0.833333,0.833333,1,0.166667,0.166667,1,1.0,1.0,1,1
b,dio_1lno,1,1,recurrence_context_reorganizing,recurrence_context_reorganizing,1,recurrence_context_reorganizing:2,recurrence_context_reorganizing:2,1,instabil_neuordnend,instabil_neuordnend,1,0.166667,0.166667,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_1mrs,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_1noq,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
b,dio_1ull,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.166667,0.166667,1,1.0,1.0,1,1
b,dio_1xfw,1,1,recurrence_context_meaning_near,recurrence_context_meaning_near,1,recurrence_context_meaning_near:2,recurrence_context_meaning_near:2,1,sinnnah_variantenfaehig,sinnnah_variantenfaehig,1,1.0,1.0,1,0.0,0.0,1,1.0,1.0,1,1
c,dio_04kx,1,1,recurrence_context_time_fragile,recurrence_context_time_fragile,1,recurrence_context_time_fragile:2,recurrence_context_time_fragile:2,1,zeitfragil_aber_richtungserhaltend,zeitfragil_aber_richtungserhaltend,1,0.666667,0.666667,1,0.0,0.0,1,1.0,1.0,1,1
