symbol_family,action,outcome_event,event_count,event_reward_sum,event_avg_reward,memory_family_count,memory_action_count,memory_reward_sum,memory_avg_reward,memory_trust,memory_caution,memory_trust_minus_caution,memory_last_reward,memory_timing_improvement_sum,consequence_effect,passive_only
dio_0rb2,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_0vc8,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1g7l,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1jo7,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1q9b,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1qig,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1t73,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1w4m,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_0c6o,LONG,SL,3,-3.0,-1.0,11,11,5.151968,0.468361,0.459803,0.363944,0.095859,-1.0,0.073715,sl_caution_visible_but_not_dominant,1
dio_1k0r,LONG,SL,3,-3.0,-1.0,8,8,3.619979,0.452497,0.426211,0.363944,0.062267,-1.0,0.045997,sl_caution_visible_but_not_dominant,1
