source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
variant_probe16_f1,180,1,1767490300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.05444,0.055143,0.98456,1,0,0,0,variant_probe16_f1 run=180 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,2,1767490600000000,dio_0fa9zle,dio_0fa9,dio_0fa9:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.201426,0.360444,-0.300924,1,0,0,0,variant_probe16_f1 run=180 tick=2: dio_0fa9 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,3,1767490900000000,dio_06bdgpn,dio_06bd,dio_06bd:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.473624,0.373255,0.095489,1,0,0,0,variant_probe16_f1 run=180 tick=3: dio_06bd WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,4,1767491200000000,dio_0ojrw25,dio_0ojr,dio_0ojr:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.724046,0.350179,0.30195,1,0,0,0,variant_probe16_f1 run=180 tick=4: dio_0ojr WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,5,1767491500000000,dio_04zirxa,dio_04zi,dio_04zi:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.984391,0.180164,0.949554,1,0,0,0,variant_probe16_f1 run=180 tick=5: dio_04zi WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,6,1767491800000000,dio_1qigcjr,dio_1qig,dio_1qig:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,-0.874202,-0.011927,0.99666,1,0,0,0,variant_probe16_f1 run=180 tick=6: dio_1qig WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,7,1767492100000000,dio_0vc85jd,dio_0vc8,dio_0vc8:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.483187,-0.183654,0.348577,1,0,0,0,variant_probe16_f1 run=180 tick=7: dio_0vc8 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,8,1767492400000000,dio_1g7l35z,dio_1g7l,dio_1g7l:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.077222,-0.13539,-0.237909,1,0,0,0,variant_probe16_f1 run=180 tick=8: dio_1g7l WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,180,9,1767492700000000,dio_1k0rwi1,dio_1k0r,dio_1k0r:LONG,LONG,LONG,SL,no_prior_phase,none,0,9999,,1.0,0.0,1.0,2,-1.0,-1.0,SHORT,0.25469,-0.105623,0.370425,1,0,0,0,variant_probe16_f1 run=180 tick=9: dio_1k0r LONG/SL; Zeitspur=no_prior_phase; reward=-1.000000.
variant_probe16_f1,180,14,1767494200000000,dio_1t73pqz,dio_1t73,dio_1t73:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.230685,0.0,1.0,0,0.0,0.0,SHORT,-0.37545,-0.152016,0.357435,1,0,0,0,variant_probe16_f1 run=180 tick=14: dio_1t73 WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe16_f1,180,15,1767494500000000,dio_1q9bwwb,dio_1q9b,dio_1q9b:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,6,6,0.304811,0.0,1.0,0,0.0,0.0,SHORT,-0.0554,-0.113507,-0.231782,1,0,0,0,variant_probe16_f1 run=180 tick=15: dio_1q9b WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe16_f1,180,16,1767494800000000,dio_0rb2qnk,dio_0rb2,dio_0rb2:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,7,7,0.336723,0.0,1.0,0,0.0,0.0,SHORT,0.033347,-0.051115,-0.214312,1,0,0,0,variant_probe16_f1 run=180 tick=16: dio_0rb2 WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe16_f1,180,17,1767495100000000,dio_1jo7eef,dio_1jo7,dio_1jo7:WAIT,WAIT,WAIT,NO_TRADE,separated_observation_contact,none,0,8,8,0.429812,0.0,1.0,0,0.0,0.0,SHORT,-0.044569,0.140686,-0.239392,1,0,0,0,variant_probe16_f1 run=180 tick=17: dio_1jo7 WAIT/NO_TRADE; Zeitspur=separated_observation_contact; reward=0.000000.
variant_probe16_f1,180,18,1767495400000000,dio_1w4m0ap,dio_1w4m,dio_1w4m:WAIT,WAIT,WAIT,NO_TRADE,separated_observation_contact,none,0,9,9,0.227155,0.0,1.0,0,0.0,0.0,LONG,-0.344651,0.165485,0.353664,1,0,0,0,variant_probe16_f1 run=180 tick=18: dio_1w4m WAIT/NO_TRADE; Zeitspur=separated_observation_contact; reward=0.000000.
variant_probe16_f1,181,1,1767490300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.05444,0.055143,0.98456,1,0,0,0,variant_probe16_f1 run=181 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,181,2,1767490600000000,dio_0fa9zle,dio_0fa9,dio_0fa9:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.201426,0.360444,-0.300924,1,0,0,0,variant_probe16_f1 run=181 tick=2: dio_0fa9 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe16_f1,181,3,1767490900000000,dio_06bdgpn,dio_06bd,dio_06bd:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.473624,0.373255,0.095489,1,0,0,0,variant_probe16_f1 run=181 tick=3: dio_06bd WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
