source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
variant_probe17,180,1,1767500300000000,dio_1c6be9z,dio_1c6b,dio_1c6b:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.038108,0.040115,0.988768,1,0,0,0,variant_probe17 run=180 tick=1: dio_1c6b WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,181,2,1767500600000000,dio_1d1z7n5,dio_1d1z,dio_1d1z:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.17965,0.337931,-0.294621,1,0,0,0,variant_probe17 run=181 tick=2: dio_1d1z WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,181,3,1767500900000000,dio_10dkbdg,dio_10dk,dio_10dk:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.419184,0.369028,0.096672,1,0,0,0,variant_probe17 run=181 tick=3: dio_10dk WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,181,4,1767501200000000,dio_1d3rtjg,dio_1d3r,dio_1d3r:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.615167,0.280834,0.321366,1,0,0,0,variant_probe17 run=181 tick=4: dio_1d3r WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,181,5,1767501500000000,dio_0n9edet,dio_0n9e,dio_0n9e:LONG,LONG,LONG,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,2,1.0,1.0,LONG,-0.783392,0.176286,0.95064,1,0,0,0,variant_probe17 run=181 tick=5: dio_0n9e LONG/TP; Zeitspur=no_prior_phase; reward=1.000000.
variant_probe17,181,10,1767503000000000,dio_1f9y063,dio_1f9y,dio_1f9y:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.359538,0.0,1.0,0,0.0,0.0,LONG,0.881135,0.085225,0.976137,1,0,0,0,variant_probe17 run=181 tick=10: dio_1f9y WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe17,181,11,1767503300000000,dio_143dusg,dio_143d,dio_143d:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,6,6,0.394757,0.0,1.0,0,0.0,0.0,LONG,0.845244,0.023468,0.993429,1,0,0,0,variant_probe17 run=181 tick=11: dio_143d WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe17,181,12,1767503600000000,dio_1m4no20,dio_1m4n,dio_1m4n:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,7,7,0.389568,0.0,1.0,0,0.0,0.0,SHORT,0.754296,-0.070649,0.980218,1,0,0,0,variant_probe17 run=181 tick=12: dio_1m4n WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe17,181,13,1767503900000000,dio_1k7yck2,dio_1k7y,dio_1k7y:LONG,LONG,LONG,TP,executed_temporal_contact,none,0,8,8,0.552587,0.0,1.0,4,1.0,1.0,LONG,0.359266,-0.077778,0.378222,1,0,0,0,variant_probe17 run=181 tick=13: dio_1k7y LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
variant_probe17,181,18,1767505400000000,dio_0120ekw,dio_0120,dio_0120:WAIT,WAIT,LONG,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.407697,0.596279,0.288968,0,0.0,0.0,LONG,0.639442,0.112281,0.968561,1,0,0,0,variant_probe17 run=181 tick=18: dio_0120 WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
variant_probe17,182,1,1767500300000000,dio_1c6be9z,dio_1c6b,dio_1c6b:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,0.038108,0.040115,0.988768,1,0,0,0,variant_probe17 run=182 tick=1: dio_1c6b WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,182,2,1767500600000000,dio_1d1z7n5,dio_1d1z,dio_1d1z:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.17965,0.337931,-0.294621,1,0,0,0,variant_probe17 run=182 tick=2: dio_1d1z WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,182,3,1767500900000000,dio_10dkbdg,dio_10dk,dio_10dk:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.419184,0.369028,0.096672,1,0,0,0,variant_probe17 run=182 tick=3: dio_10dk WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,182,4,1767501200000000,dio_1d3rtjg,dio_1d3r,dio_1d3r:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,SHORT,-0.615167,0.280834,0.321366,1,0,0,0,variant_probe17 run=182 tick=4: dio_1d3r WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
variant_probe17,182,5,1767501500000000,dio_0n9edet,dio_0n9e,dio_0n9e:LONG,LONG,LONG,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,2,1.0,1.0,LONG,-0.783392,0.176286,0.95064,1,0,0,0,variant_probe17 run=182 tick=5: dio_0n9e LONG/TP; Zeitspur=no_prior_phase; reward=1.000000.
variant_probe17,182,10,1767503000000000,dio_1f9y063,dio_1f9y,dio_1f9y:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.359538,0.0,1.0,0,0.0,0.0,LONG,0.881135,0.085225,0.976137,1,0,0,0,variant_probe17 run=182 tick=10: dio_1f9y WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe17,182,11,1767503300000000,dio_143dusg,dio_143d,dio_143d:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,6,6,0.394757,0.0,1.0,0,0.0,0.0,LONG,0.845244,0.023468,0.993429,1,0,0,0,variant_probe17 run=182 tick=11: dio_143d WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe17,182,12,1767503600000000,dio_1m4no20,dio_1m4n,dio_1m4n:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,7,7,0.389568,0.0,1.0,0,0.0,0.0,SHORT,0.754296,-0.070649,0.980218,1,0,0,0,variant_probe17 run=182 tick=12: dio_1m4n WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
variant_probe17,182,13,1767503900000000,dio_1k7yck2,dio_1k7y,dio_1k7y:LONG,LONG,LONG,TP,executed_temporal_contact,none,0,8,8,0.552587,0.0,1.0,4,1.0,1.0,LONG,0.359266,-0.077778,0.378222,1,0,0,0,variant_probe17 run=182 tick=13: dio_1k7y LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
variant_probe17,182,18,1767505400000000,dio_0120ekw,dio_0120,dio_0120:WAIT,WAIT,LONG,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.407697,0.596279,0.289056,0,0.0,0.0,LONG,0.639442,0.112281,0.968561,1,0,0,0,variant_probe17 run=182 tick=18: dio_0120 WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
